"Baldwin, Tammy (D-WI)"
"Barrasso, John (R-WY)"
"Bennet, Michael F. (D-CO)"
"Blackburn, Marsha (R-TN)"
"Blumenthal, Richard (D-CT)"
"Blunt, Roy (R-MO)"
"Booker, Cory A. (D-NJ)"
"Boozman, John (R-AR)"
"Braun, Mike (R-IN)"
"Brown, Sherrod (D-OH)"
"Burr, Richard (R-NC)"
"Cantwell, Maria (D-WA)"
"Capito, Shelley Moore (R-WV)"
"Cardin, Benjamin L. (D-MD)"
"Carper, Thomas R. (D-DE)"
"Casey, Robert P., Jr. (D-PA)"
"Cassidy, Bill (R-LA)"
"Collins, Susan M. (R-ME)"
"Coons, Christopher A. (D-DE)"
"Cornyn, John (R-TX)"
"Cortez Masto, Catherine (D-NV)"
"Cotton, Tom (R-AR)"
"Cramer, Kevin (R-ND)"
"Crapo, Mike (R-ID)"
"Cruz, Ted (R-TX)"
"Daines, Steve (R-MT)"
"Duckworth, Tammy (D-IL)"
"Durbin, Richard J. (D-IL)"
"Ernst, Joni (R-IA)"
"Feinstein, Dianne (D-CA)"
"Fischer, Deb (R-NE)"
"Gillibrand, Kirsten E. (D-NY)"
"Graham, Lindsey (R-SC)"
"Grassley, Chuck (R-IA)"
"Hagerty, Bill (R-TN)"
"Harris, Kamala D. (D-CA)"
"Hassan, Margaret Wood (D-NH)"
"Hawley, Josh (R-MO)"
"Heinrich, Martin (D-NM)"
"Hickenlooper, John W. (D-CO)"
"Hirono, Mazie K. (D-HI)"
"Hoeven, John (R-ND)"
"Hyde-Smith, Cindy (R-MS)"
"Inhofe, James M. (R-OK)"
"Johnson, Ron (R-WI)"
"Kaine, Tim (D-VA)"
"Kelly, Mark (D-AZ)"
"Kennedy, John (R-LA)"
"King, Angus S., Jr. (I-ME)"
"Klobuchar, Amy (D-MN)"
"Lankford, James (R-OK)"
"Leahy, Patrick J. (D-VT)"
"Lee, Mike (R-UT)"
"Loeffler, Kelly (R-GA)"
"Lujan, Ben Ray (D-NM)"
"Lummis, Cynthia M. (R-WY)"
"Manchin, Joe, III (D-WV)"
"Markey, Edward J. (D-MA)"
"Marshall, Roger, M.D. (R-KS)"
"McConnell, Mitch (R-KY)"
"Menendez, Robert (D-NJ)"
"Merkley, Jeff (D-OR)"
"Moran, Jerry (R-KS)"
"Murkowski, Lisa (R-AK)"
"Murphy, Christopher (D-CT)"
"Murray, Patty (D-WA)"
"Paul, Rand (R-KY)"
"Peters, Gary C. (D-MI)"
"Portman, Rob (R-OH)"
"Reed, Jack (D-RI)"
"Risch, James E. (R-ID)"
"Romney, Mitt (R-UT)"
"Rosen, Jacky (D-NV)"
"Rounds, Mike (R-SD)"
"Rubio, Marco (R-FL)"
"Sanders, Bernard (I-VT)"
"Sasse, Ben (R-NE)"
"Schatz, Brian (D-HI)"
"Schumer, Charles E. (D-NY)"
"Scott, Rick (R-FL)"
"Scott, Tim (R-SC)"
"Shaheen, Jeanne (D-NH)"
"Shelby, Richard C. (R-AL)"
"Sinema, Kyrsten (D-AZ)"
"Smith, Tina (D-MN)"
"Stabenow, Debbie (D-MI)"
"Sullivan, Dan (R-AK)"
"Tester, Jon (D-MT)"
"Thune, John (R-SD)"
"Tillis, Thom (R-NC)"
"Toomey, Patrick J. (R-PA)"
"Tuberville, Tommy (R-AL)"
"Van Hollen, Chris (D-MD)"
"Warner, Mark R. (D-VA)"
"Warren, Elizabeth (D-MA)"
"Whitehouse, Sheldon (D-RI)"
"Wicker, Roger F. (R-MS)"
"Wyden, Ron (D-OR)"
"Young, Todd (R-IN)"
